City,State,ZipCode,County
Kodiak,Alaska,99697,Kodiak Island
Alakanuk,Alaska,99554,Kusilvak
Chevak,Alaska,99563,Kusilvak
Emmonak,Alaska,99581,Kusilvak
Marshall,Alaska,99585,Kusilvak
Hooper Bay,Alaska,99604,Kusilvak
Kotlik,Alaska,99620,Kusilvak
Mountain Village,Alaska,99632,Kusilvak
Pilot Station,Alaska,99650,Kusilvak
Russian Mission,Alaska,99657,Kusilvak
Saint Marys,Alaska,99658,Kusilvak
Scammon Bay,Alaska,99662,Kusilvak
Nunam Iqua,Alaska,99666,Kusilvak
Chignik Lake,Alaska,99548,Lake and Peninsula
Port Heiden,Alaska,99549,Lake and Peninsula
Chignik,Alaska,99564,Lake and Peninsula
Chignik Lagoon,Alaska,99565,Lake and Peninsula
Egegik,Alaska,99579,Lake and Peninsula
Iliamna,Alaska,99606,Lake and Peninsula
Levelock,Alaska,99625,Lake and Peninsula
Nondalton,Alaska,99640,Lake and Peninsula
Pedro Bay,Alaska,99647,Lake and Peninsula
Perryville,Alaska,99648,Lake and Peninsula
Pilot Point,Alaska,99649,Lake and Peninsula
Port Alsworth,Alaska,99653,Lake and Peninsula
Wasilla,Alaska,99623,Matanuska-Susitna Borough
Wasilla,Alaska,99629,Matanuska-Susitna Borough
Palmer,Alaska,99645,Matanuska-Susitna Borough
Big Lake,Alaska,99652,Matanuska-Susitna Borough
Wasilla,Alaska,99654,Matanuska-Susitna Borough
Skwentna,Alaska,99667,Matanuska-Susitna Borough
Sutton,Alaska,99674,Matanuska-Susitna Borough
Talkeetna,Alaska,99676,Matanuska-Susitna Borough
Trapper Creek,Alaska,99683,Matanuska-Susitna Borough
Wasilla,Alaska,99687,Matanuska-Susitna Borough
Willow,Alaska,99688,Matanuska-Susitna Borough
Houston,Alaska,99694,Matanuska-Susitna Borough
Saint Michael,Alaska,99659,Nome (CA)
Stebbins,Alaska,99671,Nome (CA)
Unalakleet,Alaska,99684,Nome (CA)
Elim,Alaska,99739,Nome (CA)
Gambell,Alaska,99742,Nome (CA)
Koyuk,Alaska,99753,Nome (CA)
Nome,Alaska,99762,Nome (CA)
Savoonga,Alaska,99769,Nome (CA)
Shaktoolik,Alaska,99771,Nome (CA)
Shishmaref,Alaska,99772,Nome (CA)
Teller,Alaska,99778,Nome (CA)
Wales,Alaska,99783,Nome (CA)
White Mountain,Alaska,99784,Nome (CA)
Brevig Mission,Alaska,99785,Nome (CA)
Anaktuvuk Pass,Alaska,99721,North Slope
Barrow,Alaska,99723,North Slope
Prudhoe Bay,Alaska,99734,North Slope
Kaktovik,Alaska,99747,North Slope
Point Lay,Alaska,99759,North Slope
Point Hope,Alaska,99766,North Slope
Wainwright,Alaska,99782,North Slope
Nuiqsut,Alaska,99789,North Slope
Atqasuk,Alaska,99791,North Slope
Buckland,Alaska,99727,Northwest Arctic
Deering,Alaska,99736,Northwest Arctic
Kiana,Alaska,99749,Northwest Arctic
Kivalina,Alaska,99750,Northwest Arctic
Kobuk,Alaska,99751,Northwest Arctic
Kotzebue,Alaska,99752,Northwest Arctic
Noatak,Alaska,99761,Northwest Arctic
Noorvik,Alaska,99763,Northwest Arctic
Selawik,Alaska,99770,Northwest Arctic
Shungnak,Alaska,99773,Northwest Arctic
Ambler,Alaska,99786,Northwest Arctic
Meyers Chuck,Alaska,99903,Prince of Wales-Hyder
Coffman Cove,Alaska,99918,Prince of Wales-Hyder
Thorne Bay,Alaska,99919,Prince of Wales-Hyder
Craig,Alaska,99921,Prince of Wales-Hyder
Hydaburg,Alaska,99922,Prince of Wales-Hyder
Hyder,Alaska,99923,Prince of Wales-Hyder
Klawock,Alaska,99925,Prince of Wales-Hyder
Metlakatla,Alaska,99926,Prince of Wales-Hyder
Point Baker,Alaska,99927,Prince of Wales-Hyder
Sitka,Alaska,99835,Sitka City and Borough
Yakutat,Alaska,99689,Skagway-Hoonah-Angoon
Angoon,Alaska,99820,Skagway-Hoonah-Angoon
Elfin Cove,Alaska,99825,Skagway-Hoonah-Angoon
Gustavus,Alaska,99826,Skagway-Hoonah-Angoon
Hoonah,Alaska,99829,Skagway-Hoonah-Angoon
Pelican,Alaska,99832,Skagway-Hoonah-Angoon
Skagway,Alaska,99840,Skagway-Hoonah-Angoon
Tenakee Springs,Alaska,99841,Skagway-Hoonah-Angoon
Fort Greely,Alaska,99731,Southeast Fairbanks Census Area
Chicken,Alaska,99732,Southeast Fairbanks Census Area
Delta Junction,Alaska,99737,Southeast Fairbanks Census Area
Eagle,Alaska,99738,Southeast Fairbanks Census Area
Northway,Alaska,99764,Southeast Fairbanks Census Area
Tanacross,Alaska,99776,Southeast Fairbanks Census Area
Tok,Alaska,99780,Southeast Fairbanks Census Area
Chitina,Alaska,99566,Valdez-Cordova (CA)
Copper Center,Alaska,99573,Valdez-Cordova (CA)
Cordova,Alaska,99574,Valdez-Cordova (CA)
Gakona,Alaska,99586,Valdez-Cordova (CA)
Glennallen,Alaska,99588,Valdez-Cordova (CA)
Tatitlek,Alaska,99677,Valdez-Cordova (CA)
Valdez,Alaska,99686,Valdez-Cordova (CA)
Whittier,Alaska,99693,Valdez-Cordova (CA)
Kake,Alaska,99830,Wrangell-Petersburg (C
Petersburg,Alaska,99833,Wrangell-Petersburg (C
Port Alexander,Alaska,99836,Wrangell-Petersburg (C
Wrangell,Alaska,99929,Wrangell-Petersburg (C
Anvik,Alaska,99558,Yukon-Koyukuk (CA)
Grayling,Alaska,99590,Yukon-Koyukuk (CA)
Holy Cross,Alaska,99602,Yukon-Koyukuk (CA)
Mc Grath,Alaska,99627,Yukon-Koyukuk (CA)
Shageluk,Alaska,99665,Yukon-Koyukuk (CA)
Takotna,Alaska,99675,Yukon-Koyukuk (CA)
Nikolai,Alaska,99691,Yukon-Koyukuk (CA)
Allakaket,Alaska,99720,Yukon-Koyukuk (CA)
Arctic Village,Alaska,99722,Yukon-Koyukuk (CA)
Beaver,Alaska,99724,Yukon-Koyukuk (CA)
Bettles Field,Alaska,99726,Yukon-Koyukuk (CA)
Central,Alaska,99730,Yukon-Koyukuk (CA)
Circle,Alaska,99733,Yukon-Koyukuk (CA)
Fort Yukon,Alaska,99740,Yukon-Koyukuk (CA)
Galena,Alaska,99741,Yukon-Koyukuk (CA)
Hughes,Alaska,99745,Yukon-Koyukuk (CA)
Huslia,Alaska,99746,Yukon-Koyukuk (CA)
Kaltag,Alaska,99748,Yukon-Koyukuk (CA)
Koyukuk,Alaska,99754,Yukon-Koyukuk (CA)
Manley Hot Springs,Alaska,99756,Yukon-Koyukuk (CA)
Lake Minchumina,Alaska,99757,Yukon-Koyukuk (CA)
Minto,Alaska,99758,Yukon-Koyukuk (CA)
Nenana,Alaska,99760,Yukon-Koyukuk (CA)
Nulato,Alaska,99765,Yukon-Koyukuk (CA)
Rampart,Alaska,99767,Yukon-Koyukuk (CA)
Ruby,Alaska,99768,Yukon-Koyukuk (CA)
Stevens Village,Alaska,99774,Yukon-Koyukuk (CA)
Tanana,Alaska,99777,Yukon-Koyukuk (CA)
Venetie,Alaska,99781,Yukon-Koyukuk (CA)
Chalkyitsik,Alaska,99788,Yukon-Koyukuk (CA)
Autaugaville,Alabama,36003,Autauga
Billingsley,Alabama,36006,Autauga
Booth,Alabama,36008,Autauga
Marbury,Alabama,36051,Autauga
Prattville,Alabama,36066,Autauga
Prattville,Alabama,36067,Autauga
Prattville,Alabama,36068,Autauga
Jones,Alabama,36749,Autauga
Bay Minette,Alabama,36507,Baldwin
Bon Secour,Alabama,36511,Baldwin
Daphne,Alabama,36526,Baldwin
Spanish Fort,Alabama,36527,Baldwin
Elberta,Alabama,36530,Baldwin
Fairhope,Alabama,36532,Baldwin
Fairhope,Alabama,36533,Baldwin
Foley,Alabama,36535,Baldwin
Foley,Alabama,36536,Baldwin
Gulf Shores,Alabama,36542,Baldwin
Gulf Shores,Alabama,36547,Baldwin
Lillian,Alabama,36549,Baldwin
Little River,Alabama,36550,Baldwin
Loxley,Alabama,36551,Baldwin
Magnolia Springs,Alabama,36555,Baldwin
Montrose,Alabama,36559,Baldwin
Orange Beach,Alabama,36561,Baldwin
Perdido,Alabama,36562,Baldwin
Point Clear,Alabama,36564,Baldwin
Robertsdale,Alabama,36567,Baldwin
Seminole,Alabama,36574,Baldwin
Silverhill,Alabama,36576,Baldwin
Spanish Fort,Alabama,36577,Baldwin
Stapleton,Alabama,36578,Baldwin
Stockton,Alabama,36579,Baldwin
Summerdale,Alabama,36580,Baldwin
Clayton,Alabama,36016,Barbour
Clio,Alabama,36017,Barbour
Eufaula,Alabama,36027,Barbour
Louisville,Alabama,36048,Barbour
Eufaula,Alabama,36072,Barbour
Brent,Alabama,35034,Bibb
Brierfield,Alabama,35035,Bibb
Centreville,Alabama,35042,Bibb
Green Pond,Alabama,35074,Bibb
West Blocton,Alabama,35184,Bibb
Woodstock,Alabama,35188,Bibb
Randolph,Alabama,36792,Bibb
Lawley,Alabama,36793,Bibb
Allgood,Alabama,35013,Blount
Blountsville,Alabama,35031,Blount
Cleveland,Alabama,35049,Blount
Hayden,Alabama,35079,Blount
Locust Fork,Alabama,35097,Blount
Oneonta,Alabama,35121,Blount
Remlap,Alabama,35133,Blount
Fitzpatrick,Alabama,36029,Bullock
Midway,Alabama,36053,Bullock
Perote,Alabama,36061,Bullock
Union Springs,Alabama,36089,Bullock
Chapman,Alabama,36015,Butler
Forest Home,Alabama,36030,Butler
Georgiana,Alabama,36033,Butler
Greenville,Alabama,36037,Butler
Mc Kenzie,Alabama,36456,Butler
Anniston,Alabama,36201,Calhoun
Anniston,Alabama,36202,Calhoun
Oxford,Alabama,36203,Calhoun
Anniston,Alabama,36204,Calhoun
Anniston,Alabama,36205,Calhoun
Anniston,Alabama,36206,Calhoun
Anniston,Alabama,36207,Calhoun
Alexandria,Alabama,36250,Calhoun
Bynum,Alabama,36253,Calhoun
Choccolocco,Alabama,36254,Calhoun
De Armanville,Alabama,36257,Calhoun
Eastaboga,Alabama,36260,Calhoun
Jacksonville,Alabama,36265,Calhoun
Ohatchee,Alabama,36271,Calhoun
Piedmont,Alabama,36272,Calhoun
Weaver,Alabama,36277,Calhoun
Wellington,Alabama,36279,Calhoun
Cusseta,Alabama,36852,Chambers
Valley,Alabama,36854,Chambers
Five Points,Alabama,36855,Chambers
Lafayette,Alabama,36862,Chambers
Lanett,Alabama,36863,Chambers
Cedar Bluff,Alabama,35959,Cherokee
Centre,Alabama,35960,Cherokee
Gaylesville,Alabama,35973,Cherokee
Leesburg,Alabama,35983,Cherokee
Spring Garden,Alabama,36275,Cherokee
Clanton,Alabama,35045,Chilton
Clanton,Alabama,35046,Chilton
Jemison,Alabama,35085,Chilton
Thorsby,Alabama,35171,Chilton
Verbena,Alabama,36091,Chilton
Maplesville,Alabama,36750,Chilton
Stanton,Alabama,36790,Chilton
Butler,Alabama,36904,Choctaw
Gilbertown,Alabama,36908,Choctaw
Jachin,Alabama,36910,Choctaw
Lisman,Alabama,36912,Choctaw
Melvin,Alabama,36913,Choctaw
Needham,Alabama,36915,Choctaw
Pennington,Alabama,36916,Choctaw
Silas,Alabama,36919,Choctaw
Toxey,Alabama,36921,Choctaw
Ward,Alabama,36922,Choctaw
Dickinson,Alabama,36436,Clarke
Fulton,Alabama,36446,Clarke
Grove Hill,Alabama,36451,Clarke
Whatley,Alabama,36482,Clarke
Coffeeville,Alabama,36524,Clarke
Gainestown,Alabama,36540,Clarke
Jackson,Alabama,36545,Clarke
Campbell,Alabama,36727,Clarke
Thomasville,Alabama,36784,Clarke
Hollins,Alabama,35082,Clay
Ashland,Alabama,36251,Clay
Cragford,Alabama,36255,Clay
Delta,Alabama,36258,Clay
Lineville,Alabama,36266,Clay
Millerville,Alabama,36267,Clay
Edwardsville,Alabama,36261,Cleburne
Fruithurst,Alabama,36262,Cleburne
Heflin,Alabama,36264,Cleburne
Muscadine,Alabama,36269,Cleburne
Ranburne,Alabama,36273,Cleburne
Elba,Alabama,36323,Coffee
Enterprise,Alabama,36330,Coffee
Enterprise,Alabama,36331,Coffee
Jack,Alabama,36346,Coffee
New Brockton,Alabama,36351,Coffee
Kinston,Alabama,36453,Coffee
Cherokee,Alabama,35616,Colbert
Leighton,Alabama,35646,Colbert
Sheffield,Alabama,35660,Colbert
Muscle Shoals,Alabama,35661,Colbert
Muscle Shoals,Alabama,35662,Colbert
Tuscumbia,Alabama,35674,Colbert
Evergreen,Alabama,36401,Conecuh
Brooklyn,Alabama,36429,Conecuh
Castleberry,Alabama,36432,Conecuh
Lenox,Alabama,36454,Conecuh
Range,Alabama,36473,Conecuh
Repton,Alabama,36475,Conecuh
Goodwater,Alabama,35072,Coosa
Kellyton,Alabama,35089,Coosa
Rockford,Alabama,35136,Coosa
Weogufka,Alabama,35183,Coosa
Equality,Alabama,36026,Coosa
Gantt,Alabama,36038,Covington
Andalusia,Alabama,36420,Covington
Florala,Alabama,36442,Covington
Lockhart,Alabama,36455,Covington
Opp,Alabama,36467,Covington
Red Level,Alabama,36474,Covington
River Falls,Alabama,36476,Covington
Wing,Alabama,36483,Covington
Brantley,Alabama,36009,Crenshaw
Dozier,Alabama,36028,Crenshaw
Glenwood,Alabama,36034,Crenshaw
Highland Home,Alabama,36041,Crenshaw
Honoraville,Alabama,36042,Crenshaw
Luverne,Alabama,36049,Crenshaw
Petrey,Alabama,36062,Crenshaw
Rutledge,Alabama,36071,Crenshaw
Baileyton,Alabama,35019,Cullman
Bremen,Alabama,35033,Cullman
Crane Hill,Alabama,35053,Cullman
Cullman,Alabama,35055,Cullman
Cullman,Alabama,35056,Cullman
Cullman,Alabama,35057,Cullman
Cullman,Alabama,35058,Cullman
Garden City,Alabama,35070,Cullman
Hanceville,Alabama,35077,Cullman
Holly Pond,Alabama,35083,Cullman
Joppa,Alabama,35087,Cullman
Logan,Alabama,35098,Cullman
Vinemont,Alabama,35179,Cullman
Ariton,Alabama,36311,Dale
Clopton,Alabama,36317,Dale
Daleville,Alabama,36322,Dale
Midland City,Alabama,36350,Dale
Newton,Alabama,36352,Dale
Ozark,Alabama,36360,Dale
Ozark,Alabama,36361,Dale
Fort Rucker,Alabama,36362,Dale
Pinckard,Alabama,36371,Dale
Skipperville,Alabama,36374,Dale
Selma,Alabama,36701,Dallas
Selma,Alabama,36702,Dallas
Selma,Alabama,36703,Dallas
Plantersville,Alabama,36758,Dallas
Marion Junction,Alabama,36759,Dallas
Minter,Alabama,36761,Dallas
Orrville,Alabama,36767,Dallas
Safford,Alabama,36773,Dallas
Sardis,Alabama,36775,Dallas
Tyler,Alabama,36785,Dallas
Collinsville,Alabama,35961,DeKalb
Crossville,Alabama,35962,DeKalb
Dawson,Alabama,35963,DeKalb
Fort Payne,Alabama,35967,DeKalb
Fort Payne,Alabama,35968,DeKalb
Fyffe,Alabama,35971,DeKalb
Geraldine,Alabama,35974,DeKalb
Groveoak,Alabama,35975,DeKalb
Henagar,Alabama,35978,DeKalb
Ider,Alabama,35981,DeKalb
Mentone,Alabama,35984,DeKalb
Rainsville,Alabama,35986,DeKalb
Sylvania,Alabama,35988,DeKalb
Valley Head,Alabama,35989,DeKalb
Coosada,Alabama,36020,Elmore
Deatsville,Alabama,36022,Elmore
Eclectic,Alabama,36024,Elmore
Elmore,Alabama,36025,Elmore
Kent,Alabama,36045,Elmore
Millbrook,Alabama,36054,Elmore
Tallassee,Alabama,36078,Elmore
